id;tower;_071_eqty_fta;_075_cash_a;_166_ebitda_int_exp;_167_eqty_gw_a;_168_b_loans_bonds_a;_172_eqty_gw_a_gw;_187_margin_yoy;_192_tpo_rev;_193_tro_rev;_209_ebtda_pv;_210_e_eqty;_211_e_a;_166_ebitda_int_exp_3;_027_st_l_ebitda_2;_161_rev_yoy_2;_187_margin_yoy_2;_187_margin_yoy_3;PD
1;CZ;2.812500;0.345572;53.000000;0.015239;-0.781439;1.332246;0.535532;-0.643502;17.698471;0.523603;0.092222;0.001405;-0.335774;9.490785;0.382139862;0.635532483;0.282781693;0.024583552
2;CZ;1.277813;-0.871314;90.996764;0.303051;-0.569653;0.252999;0.316142;-0.040277;22.531328;-0.317770;0.969165;0.293706;-1.105381;1.806352;0.118991577;0.216142177;-0.142842594;0.00694328
3;CZ;4.241747;-0.887813;68.230000;0.881296;-0.943685;-1.915328;0.317127;-0.622544;121.807999;0.288020;0.030499;0.026878;-0.703597;1.685539;0.206963526;0.41712724;-0.008268392;0.004147146
4;CZ;5.614127;-1.676004;68.230000;0.897446;-0.943685;-1.975888;0.103165;-0.692551;106.760644;0.272314;0.032004;0.028722;-0.703597;1.408872;0.054003241;0.003164573;-0.426659727;0.002807703
5;CZ;5.539664;0.102246;161.572539;0.896951;-0.943685;-1.974032;0.192009;-0.707643;116.267152;-0.112762;0.074373;0.066709;-2.534810;0.806292;0.059075402;0.092009408;-0.308263774;0.001996901
6;CZ;0.944818;0.469126;21.660967;0.090994;-0.436686;1.047226;0.648927;1.368802;124.656411;0.410133;0.530624;0.049759;0.298984;11.036281;0.66710553;0.548927152;0.300631629;0.045839082
7;CZ;0.968818;0.635479;4.661525;0.161455;0.325662;0.748494;3.866201;1.015886;114.290155;0.328893;0.104304;0.022613;0.643300;17.787749;0.105808289;3.766201121;4.588018922;0.101880825
9;CZ;3.031322;0.666281;104.571429;0.304548;-0.637933;0.247386;2.944069;0.206480;49.526793;-0.158233;0.747287;0.227585;-1.380330;2.100918;2.699985154;2.844069248;3.359172229;0.018965032
10;CZ;3.653049;-0.813224;99.864924;0.517824;-0.943685;-0.552365;0.423186;-0.467943;23.586563;0.132337;0.507498;0.262795;-1.285002;1.263711;1.002660272;0.323186379;-0.000193894;0.004854277
12;CZ;2.455969;-0.052335;59.721014;0.397600;-0.458018;-0.101547;0.063107;-0.155973;39.473567;0.366939;0.265220;0.105451;-0.471905;3.748953;0.154889057;0.163106878;-0.346779716;0.012752111
